algorithm,ensemble,l,delta,reason,timeout_sec
SCoSaMP,gaussian,1,0.45,timeout,120
SCoSaMP,gaussian,1,0.5,timeout,120
SCoSaMP,gaussian,1,0.55,timeout,120
SCoSaMP,gaussian,1,0.6,timeout,120
SCoSaMP,gaussian,1,0.65,timeout,120
SCoSaMP,gaussian,1,0.7,timeout,120
SCoSaMP,gaussian,1,0.75,timeout,45
SCoSaMP,gaussian,1,0.8,timeout,45
SCoSaMP,gaussian,1,0.85,timeout,45
SCoSaMP,gaussian,1,0.9,timeout,45
SCoSaMP,gaussian,1,0.95,timeout,45
SCoSaMP,gaussian,1,0.99,timeout,45
SCoSaMP,gaussian,10,0.08,timeout,45
SCoSaMP,gaussian,10,0.1,timeout,45
SCoSaMP,gaussian,10,0.15,timeout,45
SCoSaMP,gaussian,10,0.2,timeout,45
SCoSaMP,gaussian,10,0.25,timeout,45
SCoSaMP,gaussian,10,0.3,timeout,45
SCoSaMP,gaussian,10,0.35,timeout,45
SCoSaMP,gaussian,10,0.4,timeout,45
SCoSaMP,gaussian,10,0.45,timeout,45
SCoSaMP,gaussian,10,0.5,timeout,45
SCoSaMP,gaussian,10,0.55,timeout,45
SCoSaMP,gaussian,10,0.6,timeout,45
SCoSaMP,gaussian,10,0.65,timeout,45
SCoSaMP,gaussian,10,0.7,timeout,45
SCoSaMP,gaussian,10,0.75,timeout,45
SCoSaMP,gaussian,10,0.8,timeout,45
SCoSaMP,gaussian,10,0.85,timeout,45
SCoSaMP,gaussian,10,0.9,timeout,45
SCoSaMP,gaussian,10,0.95,timeout,45
SCoSaMP,gaussian,10,0.99,timeout,45
