algorithm,ensemble,l,delta,m,k_min,k_max,rho_w,fit_status
SHTP,gaussian,1,0.01,11,0,2,0.08775387381310894,logistic_fit
SHTP,gaussian,1,0.02,21,1,3,0.08200216703403622,logistic_fit
SHTP,gaussian,1,0.04,41,4,6,0.13113540318815378,logistic_fit
SHTP,gaussian,1,0.06,62,9,11,0.15764041314676586,logistic_fit
SHTP,gaussian,1,0.08,82,12,14,1.0,logistic_fit
SHTP,gaussian,1,0.1,103,18,20,0.0,logistic_fit
SHTP,gaussian,1,0.15,154,28,30,0.19641731383079986,logistic_fit
SHTP,gaussian,1,0.2,205,43,45,0.0,logistic_fit
SHTP,gaussian,1,0.25,256,47,49,0.19140625,all_success_fallback
SHTP,gaussian,1,0.3,308,76,78,0.0,logistic_fit
SHTP,gaussian,1,0.35,359,86,88,0.24634525681686595,logistic_fit
SHTP,gaussian,1,0.4,410,108,110,0.26664605127136487,logistic_fit
SHTP,gaussian,1,0.45,461,128,130,0.0,logistic_fit
SHTP,gaussian,1,0.5,512,147,149,0.28910531073347007,logistic_fit
SHTP,gaussian,1,0.55,564,175,177,0.3120447981473402,logistic_fit
SHTP,gaussian,1,0.6,615,191,193,0.31330038405360305,logistic_fit
SHTP,gaussian,1,0.65,666,217,219,0.327732325243864,logistic_fit
SHTP,gaussian,1,0.7,717,244,246,0.3429956881099011,logistic_fit
SHTP,gaussian,1,0.75,768,269,271,0.35157126579013753,logistic_fit
SHTP,gaussian,1,0.8,820,293,295,1.0,logistic_fit
SHTP,gaussian,1,0.85,871,325,327,0.37877181587483977,logistic_fit
SHTP,gaussian,1,0.9,922,345,347,0.3795123284980403,logistic_fit
SHTP,gaussian,1,0.95,973,424,426,0.42321738774073314,logistic_fit
SHTP,gaussian,1,0.99,1014,426,428,0.42001780750561923,logistic_fit
SHTP,gaussian,10,0.01,11,0,2,0.07137690990715405,logistic_fit
SHTP,gaussian,10,0.02,21,2,3,0.15363306608399335,logistic_fit
SHTP,gaussian,10,0.04,41,9,11,1.0,logistic_fit
SHTP,gaussian,10,0.06,62,22,24,0.40828417035053083,logistic_fit
SHTP,gaussian,10,0.08,82,35,37,0.4510643939058212,logistic_fit
SHTP,gaussian,10,0.1,103,46,48,1.0,logistic_fit
SHTP,gaussian,10,0.15,154,80,82,1.0,logistic_fit
SHTP,gaussian,10,0.2,205,113,115,1.0,logistic_fit
SHTP,gaussian,10,0.25,256,148,150,1.0,logistic_fit
SHTP,gaussian,10,0.3,308,181,183,1.0,logistic_fit
SHTP,gaussian,10,0.35,359,216,218,1.0,logistic_fit
SHTP,gaussian,10,0.4,410,255,257,0.6203349645282543,logistic_fit
SHTP,gaussian,10,0.45,461,284,286,1.0,logistic_fit
SHTP,gaussian,10,0.5,512,326,328,0.6352301813789428,logistic_fit
SHTP,gaussian,10,0.55,564,359,361,1.0,logistic_fit
SHTP,gaussian,10,0.6,615,401,403,0.0,logistic_fit
SHTP,gaussian,10,0.65,666,435,437,0.6526842611126522,logistic_fit
SHTP,gaussian,10,0.7,717,468,470,1.0,logistic_fit
SHTP,gaussian,10,0.75,768,508,510,0.6627518125547159,logistic_fit
SHTP,gaussian,10,0.8,820,549,551,0.6689793614318794,logistic_fit
SHTP,gaussian,10,0.85,871,582,584,1.0,logistic_fit
SHTP,gaussian,10,0.9,922,617,619,1.0,logistic_fit
SHTP,gaussian,10,0.95,973,667,669,0.6865371901001971,logistic_fit
SHTP,gaussian,10,0.99,1014,703,705,0.0,logistic_fit
SIHT,gaussian,1,0.01,11,0,2,0.08777633438254422,logistic_fit
SIHT,gaussian,1,0.02,21,1,3,0.0898702095658767,logistic_fit
SIHT,gaussian,1,0.04,41,4,6,0.09653641770470674,logistic_fit
SIHT,gaussian,1,0.06,62,6,8,0.11215240681483939,logistic_fit
SIHT,gaussian,1,0.08,82,10,12,0.1114293058715944,logistic_fit
SIHT,gaussian,1,0.1,103,12,14,0.13895417423250195,logistic_fit
SIHT,gaussian,1,0.15,154,21,23,0.14860829092671002,logistic_fit
SIHT,gaussian,1,0.2,205,34,36,0.14690263782105514,logistic_fit
SIHT,gaussian,1,0.25,256,47,49,0.17560787401716949,logistic_fit
SIHT,gaussian,1,0.3,308,57,59,0.18492721129674333,logistic_fit
SIHT,gaussian,1,0.35,359,66,68,0.1868071908421846,logistic_fit
SIHT,gaussian,1,0.4,410,82,84,0.20243902439106112,logistic_fit
