algorithm,bound_model,delta,rho,mu_at_rho
SIHT,surrogate_arip_v1,0.01,1.6450881958007812e-05,0.9997677126830119
SIHT,surrogate_arip_v1,0.02,3.79905104637146e-05,0.9999993264994623
SIHT,surrogate_arip_v1,0.03,6.256997585296631e-05,0.9999747977211724
SIHT,surrogate_arip_v1,0.04,8.960068225860596e-05,0.9999884999280988
SIHT,surrogate_arip_v1,0.05,0.00011874735355377197,0.9999788762409145
SIHT,surrogate_arip_v1,0.06,0.0001498013734817505,0.9999778384649711
SIHT,surrogate_arip_v1,0.07,0.00018261373043060303,0.9999937639713505
SIHT,surrogate_arip_v1,0.08,0.00021705776453018188,0.9999941071234508
SIHT,surrogate_arip_v1,0.09,0.000253044068813324,0.9999936679298719
SIHT,surrogate_arip_v1,0.1,0.00029049813747406006,0.9999970958956342
SIHT,surrogate_arip_v1,0.11,0.0003293529152870178,0.9999992736049039
SIHT,surrogate_arip_v1,0.12,0.0003695487976074219,0.9999948634485996
SIHT,surrogate_arip_v1,0.13,0.0004110410809516907,0.9999912858430735
SIHT,surrogate_arip_v1,0.14,0.0004537925124168396,0.9999955742282873
SIHT,surrogate_arip_v1,0.15,0.0004977583885192871,0.9999990537749492
SIHT,surrogate_arip_v1,0.16,0.0005429014563560486,0.999999639606359
SIHT,surrogate_arip_v1,0.17,0.0005891919136047363,0.9999999938656228
SIHT,surrogate_arip_v1,0.18,0.0006365999579429626,0.999999765397477
SIHT,surrogate_arip_v1,0.19,0.0006850957870483398,0.999996918243977
SIHT,surrogate_arip_v1,0.2,0.0007346644997596741,0.9999997003224534
SIHT,surrogate_arip_v1,0.21,0.0007852688431739807,0.9999974154307765
SIHT,surrogate_arip_v1,0.22,0.0008368939161300659,0.99999570629986
SIHT,surrogate_arip_v1,0.23,0.0008895248174667358,0.9999981156101697
SIHT,surrogate_arip_v1,0.24,0.0009431317448616028,0.9999980090740634
SIHT,surrogate_arip_v1,0.25,0.000997699797153473,0.9999978358905584
SIHT,surrogate_arip_v1,0.26,0.0010532140731811523,0.9999990604675548
SIHT,surrogate_arip_v1,0.27,0.0011096522212028503,0.9999987398767044
SIHT,surrogate_arip_v1,0.28,0.001166999340057373,0.9999976609677335
SIHT,surrogate_arip_v1,0.29,0.0012252479791641235,0.9999995055751107
SIHT,surrogate_arip_v1,0.3,0.0012843683362007141,0.999997429716266
SIHT,surrogate_arip_v1,0.31,0.0013443604111671448,0.9999977661622446
SIHT,surrogate_arip_v1,0.32,0.0014052093029022217,0.9999997180675041
SIHT,surrogate_arip_v1,0.33,0.001466892659664154,0.9999996325884093
SIHT,surrogate_arip_v1,0.34,0.001529403030872345,0.9999996474420425
SIHT,surrogate_arip_v1,0.35,0.0015927255153656006,0.9999988439590631
SIHT,surrogate_arip_v1,0.36,0.001656852662563324,0.9999987886563125
SIHT,surrogate_arip_v1,0.37,0.0017217695713043213,0.9999983127723742
SIHT,surrogate_arip_v1,0.38,0.0017874687910079956,0.9999986045150616
SIHT,surrogate_arip_v1,0.39,0.001853935420513153,0.9999983729322514
SIHT,surrogate_arip_v1,0.4,0.0019211620092391968,0.999998552367312
SIHT,surrogate_arip_v1,0.41,0.00198914110660553,0.9999998699461774
SIHT,surrogate_arip_v1,0.42,0.0020578503608703613,0.9999988947425833
SIHT,surrogate_arip_v1,0.43,0.0021272897720336914,0.9999983581973099
SIHT,surrogate_arip_v1,0.44,0.002197451889514923,0.9999987188556227
SIHT,surrogate_arip_v1,0.45,0.0022683218121528625,0.9999985117761374
SIHT,surrogate_arip_v1,0.46,0.0023398995399475098,0.9999999027379705
SIHT,surrogate_arip_v1,0.47,0.002412162721157074,0.9999996490628285
SIHT,surrogate_arip_v1,0.48,0.002485111355781555,0.9999997924571151
SIHT,surrogate_arip_v1,0.49,0.0025587305426597595,0.9999988943745056
SIHT,surrogate_arip_v1,0.5,0.002633020281791687,0.9999987545577022
SIHT,surrogate_arip_v1,0.51,0.0027079731225967407,0.9999994240664487
SIHT,surrogate_arip_v1,0.52,0.002783574163913727,0.9999994399448947
SIHT,surrogate_arip_v1,0.53,0.0028598159551620483,0.999998896708379
SIHT,surrogate_arip_v1,0.54,0.0029366984963417053,0.999999246860092
SIHT,surrogate_arip_v1,0.55,0.003014206886291504,0.9999990448834583
SIHT,surrogate_arip_v1,0.56,0.003092341125011444,0.9999996169371952
SIHT,surrogate_arip_v1,0.57,0.003171086311340332,0.9999995466834612
SIHT,surrogate_arip_v1,0.58,0.003250434994697571,0.9999987940011164
SIHT,surrogate_arip_v1,0.59,0.0033303946256637573,0.9999997647072771
SIHT,surrogate_arip_v1,0.6,0.003410942852497101,0.9999998075945008
SIHT,surrogate_arip_v1,0.61,0.0034920722246170044,0.9999988458109286
