algorithm,ensemble,l,delta,m,k_min,k_max,rho_w,fit_status
SNIHT,dct,1,0.01,11,0,2,0.07510685822892237,logistic_fit
SNIHT,dct,1,0.02,21,2,4,0.09523809527023377,logistic_fit
SNIHT,dct,1,0.04,41,4,6,0.12430524322983245,logistic_fit
SNIHT,dct,1,0.06,62,7,9,0.1570568714177442,logistic_fit
SNIHT,dct,1,0.08,82,12,14,0.17057658806156034,logistic_fit
SNIHT,dct,1,0.1,103,18,20,0.17341515164745508,logistic_fit
SNIHT,dct,1,0.15,154,30,32,0.20806744692521972,logistic_fit
SNIHT,dct,1,0.2,205,43,45,0.22164856724653426,logistic_fit
SNIHT,dct,1,0.25,256,63,65,0.25639408064567637,logistic_fit
SNIHT,dct,1,0.3,308,85,87,0.27477308731270045,logistic_fit
SNIHT,dct,1,0.35,359,100,102,1.0,logistic_fit
SNIHT,dct,1,0.4,410,127,129,1.0,logistic_fit
SNIHT,dct,1,0.45,461,142,144,0.31093923976697474,logistic_fit
SNIHT,dct,1,0.5,512,159,161,1.0,logistic_fit
SNIHT,dct,1,0.55,564,175,177,0.0,logistic_fit
SNIHT,dct,1,0.6,615,153,155,0.25535600396535346,logistic_fit
SNIHT,dct,1,0.65,666,207,209,0.3133148123556792,logistic_fit
SNIHT,dct,1,0.7,717,267,269,0.0,logistic_fit
SNIHT,dct,1,0.75,768,191,193,1.0,logistic_fit
SNIHT,dct,1,0.8,820,204,206,0.2530806851704936,logistic_fit
SNIHT,dct,1,0.85,871,325,327,0.37428477455050474,logistic_fit
SNIHT,dct,1,0.9,922,345,347,1.0,logistic_fit
SNIHT,dct,1,0.95,973,485,487,0.4987998215302061,logistic_fit
SNIHT,dct,1,0.99,1014,632,634,0.6180854286146149,logistic_fit
SNIHT,dct,2,0.01,11,0,2,0.1260774922695907,logistic_fit
SNIHT,dct,2,0.02,21,2,4,0.14899967305278314,logistic_fit
SNIHT,dct,2,0.04,41,7,9,0.21140646927501738,logistic_fit
SNIHT,dct,2,0.06,62,13,15,0.20899404745238692,logistic_fit
SNIHT,dct,2,0.08,82,20,22,0.24938324616152188,logistic_fit
SNIHT,dct,2,0.1,103,25,27,0.2692963842696718,logistic_fit
SNIHT,dct,2,0.15,154,47,49,1.0,logistic_fit
