experiment,algorithm,ensemble,l,delta,m,k,rho,success,n_iter,residual_norm,stop_reason
weak_phase,SNIHT,gaussian,1,0.01,11,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,1,0.01,11,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,1,0.01,11,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,1,0.01,11,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,1,0.01,11,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,1,0.01,11,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,1,0.01,11,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,1,0.01,11,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,1,0.01,11,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,1,0.01,11,0,0.0,1,1,0.0,residual_small
weak_phase,SNIHT,gaussian,1,0.01,11,1,0.09090909090909091,0,701,0.7982841428528838,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.01,11,1,0.09090909090909091,0,17,0.49302727557773174,stagnation
weak_phase,SNIHT,gaussian,1,0.01,11,1,0.09090909090909091,0,701,0.4461136957080662,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.01,11,1,0.09090909090909091,0,701,0.6744192568889579,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.01,11,1,0.09090909090909091,0,17,0.5457865210141979,stagnation
weak_phase,SNIHT,gaussian,1,0.01,11,1,0.09090909090909091,1,1,2.4414653751135803e-16,residual_small
weak_phase,SNIHT,gaussian,1,0.01,11,1,0.09090909090909091,0,701,0.8960936313567249,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.01,11,1,0.09090909090909091,0,701,0.7710694704268103,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.01,11,1,0.09090909090909091,0,701,0.5585269310194622,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.01,11,1,0.09090909090909091,0,702,0.6206272900220705,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.01,11,2,0.18181818181818182,0,701,1.9917114258251756,slow_late_rate
