algorithm,ensemble,l,delta,m,k_min,k_max,rho_w,fit_status
SNIHT,gaussian,1,0.15,20,2,4,0.184787755933613,logistic_fit
SNIHT,gaussian,1,0.35,45,10,12,0.24444692388695333,logistic_fit
SNIHT,gaussian,1,0.55,71,17,19,1.0,logistic_fit
SNIHT,gaussian,1,0.75,96,23,25,0.242987115862473,logistic_fit
SNIHT,gaussian,1,0.9,116,14,16,1.0,logistic_fit
SNIHT,gaussian,10,0.15,20,6,8,0.3049352328942036,logistic_fit
SNIHT,gaussian,10,0.35,45,21,23,0.4675564763615549,logistic_fit
SNIHT,gaussian,10,0.55,71,25,27,0.0,all_failure_fallback
SNIHT,gaussian,10,0.75,96,23,25,0.0,all_failure_fallback
SNIHT,gaussian,10,0.9,116,21,23,0.0,logistic_fit
SNHTP,gaussian,1,0.15,20,4,6,0.19394078528365424,logistic_fit
SNHTP,gaussian,1,0.35,45,7,9,1.0,logistic_fit
SNHTP,gaussian,1,0.55,71,17,19,1.0,logistic_fit
SNHTP,gaussian,1,0.75,96,35,37,0.36058779693788034,logistic_fit
SNHTP,gaussian,1,0.9,116,28,30,1.0,logistic_fit
SNHTP,gaussian,10,0.15,20,4,6,0.2499963720514411,logistic_fit
SNHTP,gaussian,10,0.35,45,21,23,0.4615945346078599,logistic_fit
SNHTP,gaussian,10,0.55,71,42,44,0.5849847493501694,logistic_fit
SNHTP,gaussian,10,0.75,96,55,57,0.0,logistic_fit
SNHTP,gaussian,10,0.9,116,71,73,1.0,logistic_fit
SCoSaMP,gaussian,1,0.15,20,4,6,0.22948203433017986,logistic_fit
SCoSaMP,gaussian,1,0.35,45,10,12,0.2599055994206589,logistic_fit
SCoSaMP,gaussian,1,0.55,71,17,19,0.2676056338028169,all_success_fallback
SCoSaMP,gaussian,1,0.75,96,41,43,0.42750031483461354,logistic_fit
SCoSaMP,gaussian,1,0.9,116,57,59,0.48966185100397336,logistic_fit
SCoSaMP,gaussian,10,0.15,20,6,8,1.0,logistic_fit
SCoSaMP,gaussian,10,0.35,45,26,28,1.0,logistic_fit
SCoSaMP,gaussian,10,0.55,71,45,47,1.0,logistic_fit
SCoSaMP,gaussian,10,0.75,96,64,66,1.0,logistic_fit
SCoSaMP,gaussian,10,0.9,116,85,87,1.0,logistic_fit
RA-SOMP+MUSIC,gaussian,1,0.15,20,1,3,0.09528982774574789,logistic_fit
RA-SOMP+MUSIC,gaussian,1,0.35,45,2,4,0.0,logistic_fit
RA-SOMP+MUSIC,gaussian,1,0.55,71,8,10,0.1108537864935316,logistic_fit
RA-SOMP+MUSIC,gaussian,1,0.75,96,11,13,0.0,all_failure_fallback
RA-SOMP+MUSIC,gaussian,1,0.9,116,3,5,0.028679004453573,logistic_fit
RA-SOMP+MUSIC,gaussian,10,0.15,20,9,11,1.0,logistic_fit
RA-SOMP+MUSIC,gaussian,10,0.35,45,10,12,0.26666666902742175,logistic_fit
RA-SOMP+MUSIC,gaussian,10,0.55,71,14,16,0.21827245206824408,logistic_fit
RA-SOMP+MUSIC,gaussian,10,0.75,96,17,19,1.0,logistic_fit
RA-SOMP+MUSIC,gaussian,10,0.9,116,14,16,0.13946321274313656,logistic_fit
