algorithm,ensemble,l,delta,m,k_min,k_max,rho_w,fit_status
SHTP,gaussian,1,0.15,20,0,2,0.1,all_success_fallback
SHTP,gaussian,1,0.35,45,10,12,0.25549753071190234,logistic_fit
SHTP,gaussian,1,0.55,71,21,23,0.3003769244378406,logistic_fit
SHTP,gaussian,1,0.75,96,35,37,0.3650004083862403,logistic_fit
SHTP,gaussian,1,0.9,116,38,40,1.0,logistic_fit
SHTP,gaussian,10,0.15,20,2,4,0.26386553883783503,logistic_fit
SHTP,gaussian,10,0.35,45,10,12,0.26666666666666666,all_success_fallback
SHTP,gaussian,10,0.55,71,34,36,1.0,logistic_fit
SHTP,gaussian,10,0.75,96,52,54,1.0,logistic_fit
SHTP,gaussian,10,0.9,116,57,59,0.5086206896551724,all_success_fallback
SIHT,gaussian,1,0.15,20,2,3,0.125000000032923,logistic_fit
SIHT,gaussian,1,0.35,45,5,7,0.15834148443556662,logistic_fit
SIHT,gaussian,1,0.55,71,17,19,0.23683465847643664,logistic_fit
SIHT,gaussian,1,0.75,96,17,19,0.17708310209325906,logistic_fit
SIHT,gaussian,1,0.9,116,14,16,0.0,logistic_fit
SIHT,gaussian,10,0.15,20,4,6,0.20475243684083363,logistic_fit
SIHT,gaussian,10,0.35,45,10,12,0.26666666666666666,all_success_fallback
SIHT,gaussian,10,0.55,71,17,19,1.0,logistic_fit
SIHT,gaussian,10,0.75,96,47,49,0.0,all_failure_fallback
SIHT,gaussian,10,0.9,116,14,16,0.0,logistic_fit
SNHTP,gaussian,1,0.15,20,4,6,0.22468622538123328,logistic_fit
SNHTP,gaussian,1,0.35,45,10,12,0.0,logistic_fit
SNHTP,gaussian,1,0.55,71,21,23,0.0,logistic_fit
SNHTP,gaussian,1,0.75,96,35,37,0.3697262949314204,logistic_fit
SNHTP,gaussian,1,0.9,116,42,44,1.0,logistic_fit
SNHTP,gaussian,10,0.15,20,4,6,0.2847877485370839,logistic_fit
SNHTP,gaussian,10,0.35,45,21,23,0.43951192959621094,logistic_fit
SNHTP,gaussian,10,0.55,71,42,44,0.0,logistic_fit
SNHTP,gaussian,10,0.75,96,47,49,1.0,logistic_fit
SNHTP,gaussian,10,0.9,116,57,59,1.0,logistic_fit
SNIHT,gaussian,1,0.15,20,3,5,0.2000000000595608,logistic_fit
SNIHT,gaussian,1,0.35,45,11,13,0.2575475542191626,logistic_fit
SNIHT,gaussian,1,0.55,71,17,19,0.2848119817192502,logistic_fit
SNIHT,gaussian,1,0.75,96,23,25,0.24298711674195717,logistic_fit
SNIHT,gaussian,1,0.9,116,21,23,0.0,all_failure_fallback
SNIHT,gaussian,10,0.15,20,4,6,0.28366159896814697,logistic_fit
SNIHT,gaussian,10,0.35,45,21,23,0.4675564762777408,logistic_fit
SNIHT,gaussian,10,0.55,71,23,25,0.32741218069147665,logistic_fit
SNIHT,gaussian,10,0.75,96,11,13,0.13541666666666666,all_success_fallback
SNIHT,gaussian,10,0.9,116,14,16,1.0,logistic_fit
SHTP,dct,1,0.15,20,4,6,0.20489974096940763,logistic_fit
SHTP,dct,1,0.35,45,10,12,0.2637688970335496,logistic_fit
SHTP,dct,1,0.55,71,34,36,0.0,all_failure_fallback
SHTP,dct,1,0.75,96,58,60,0.0,all_failure_fallback
SHTP,dct,1,0.9,116,114,115,0.0,all_failure_fallback
SHTP,dct,10,0.15,20,9,11,0.5000023797173512,logistic_fit
SHTP,dct,10,0.35,45,21,23,0.5111111111111111,all_success_fallback
SHTP,dct,10,0.55,71,51,53,1.0,logistic_fit
SHTP,dct,10,0.75,96,94,95,1.0,logistic_fit
SHTP,dct,10,0.9,116,114,115,0.9913793103448276,all_success_fallback
SIHT,dct,1,0.15,20,4,6,0.0,all_failure_fallback
SIHT,dct,1,0.35,45,10,12,0.24043497162128155,logistic_fit
SIHT,dct,1,0.55,71,17,19,0.2676056338028169,all_success_fallback
SIHT,dct,1,0.75,96,23,25,0.2604292695317848,logistic_fit
SIHT,dct,1,0.9,116,28,30,0.2559979246602609,logistic_fit
SIHT,dct,10,0.15,20,9,11,0.45518108482124614,logistic_fit
SIHT,dct,10,0.35,45,23,25,1.0,logistic_fit
SIHT,dct,10,0.55,71,29,31,0.405644784346449,logistic_fit
SIHT,dct,10,0.75,96,35,37,0.0,logistic_fit
SIHT,dct,10,0.9,116,42,44,0.0,logistic_fit
SNHTP,dct,1,0.15,20,4,6,0.20491319425832202,logistic_fit
SNHTP,dct,1,0.35,45,10,12,0.2950507500401293,logistic_fit
SNHTP,dct,1,0.55,71,25,27,1.0,logistic_fit
SNHTP,dct,1,0.75,96,47,49,1.0,logistic_fit
SNHTP,dct,1,0.9,116,114,115,0.0,all_failure_fallback
SNHTP,dct,10,0.15,20,9,11,0.4400400163357868,logistic_fit
SNHTP,dct,10,0.35,45,26,28,0.0,logistic_fit
SNHTP,dct,10,0.55,71,51,53,1.0,logistic_fit
SNHTP,dct,10,0.75,96,94,95,1.0,logistic_fit
SNHTP,dct,10,0.9,116,114,115,0.9913793103448276,all_success_fallback
SNIHT,dct,1,0.15,20,4,6,0.21521226265733484,logistic_fit
SNIHT,dct,1,0.35,45,10,12,0.2594052329389338,logistic_fit
SNIHT,dct,1,0.55,71,25,27,0.3982718239466451,logistic_fit
SNIHT,dct,1,0.75,96,35,37,1.0,logistic_fit
SNIHT,dct,1,0.9,116,57,59,0.0,logistic_fit
SNIHT,dct,10,0.15,20,9,11,0.4663381986722581,logistic_fit
SNIHT,dct,10,0.35,45,26,28,0.5850391988306631,logistic_fit
SNIHT,dct,10,0.55,71,34,36,0.0,logistic_fit
SNIHT,dct,10,0.75,96,35,37,0.3874918506163578,logistic_fit
SNIHT,dct,10,0.9,116,57,59,0.49172444926384906,logistic_fit
