algorithm,ensemble,l,delta,m,k_min,k_max,rho_w,fit_status
SNIHT,gaussian,1,0.15,20,2,4,0.12468617541367324,logistic_fit
SNIHT,gaussian,1,0.35,45,10,12,0.0,logistic_fit
SNIHT,gaussian,1,0.55,71,17,19,0.2704115570451442,logistic_fit
SNIHT,gaussian,1,0.75,96,23,25,0.23697868303808975,logistic_fit
SNIHT,gaussian,1,0.9,116,14,16,1.0,logistic_fit
SNIHT,gaussian,2,0.15,20,4,6,0.20200226259324994,logistic_fit
SNIHT,gaussian,2,0.35,45,15,17,0.33422315405730274,logistic_fit
SNIHT,gaussian,2,0.55,71,21,23,1.0,logistic_fit
SNIHT,gaussian,2,0.75,96,17,19,1.0,logistic_fit
SNIHT,gaussian,2,0.9,116,14,16,0.0,logistic_fit
SNIHT,gaussian,5,0.15,20,0,2,1.0,logistic_fit
SNIHT,gaussian,5,0.35,45,10,12,1.0,logistic_fit
SNIHT,gaussian,5,0.55,71,25,27,0.3526766401267032,logistic_fit
SNIHT,gaussian,5,0.75,96,17,19,0.1942093589785607,logistic_fit
SNIHT,gaussian,5,0.9,116,14,16,0.13486288823477943,logistic_fit
SNIHT,gaussian,10,0.15,20,4,6,0.259022623555851,logistic_fit
SNIHT,gaussian,10,0.35,45,21,23,0.0,logistic_fit
SNIHT,gaussian,10,0.55,71,21,23,0.31349664000212574,logistic_fit
SNIHT,gaussian,10,0.75,96,17,19,1.0,logistic_fit
SNIHT,gaussian,10,0.9,116,14,16,0.0,logistic_fit
SNHTP,gaussian,1,0.15,20,0,2,0.10545779900757081,logistic_fit
SNHTP,gaussian,1,0.35,45,12,14,0.0,logistic_fit
SNHTP,gaussian,1,0.55,71,21,23,0.0,logistic_fit
SNHTP,gaussian,1,0.75,96,29,31,0.0,logistic_fit
SNHTP,gaussian,1,0.9,116,42,44,0.3603515719713661,logistic_fit
SNHTP,gaussian,2,0.15,20,4,6,0.20491030876391025,logistic_fit
SNHTP,gaussian,2,0.35,45,15,17,0.0,logistic_fit
SNHTP,gaussian,2,0.55,71,25,27,0.0,logistic_fit
SNHTP,gaussian,2,0.75,96,35,37,0.38749185045423734,logistic_fit
SNHTP,gaussian,2,0.9,116,53,55,0.459519329761286,logistic_fit
SNHTP,gaussian,5,0.15,20,4,6,1.0,logistic_fit
