experiment,algorithm,ensemble,l,delta,m,k,rho,success,n_iter,residual_norm,stop_reason
weak_phase,SNIHT,gaussian,1,0.15,20,2,0.1,1,5,1.8673203001781027e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.15,20,2,0.1,1,9,9.871976043688967e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.15,20,2,0.1,1,5,2.172633858286586e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.15,20,2,0.1,0,24,0.5048447751996624,stagnation
weak_phase,SNIHT,gaussian,1,0.15,20,3,0.15,1,12,7.590410305451219e-05,residual_small
weak_phase,SNIHT,gaussian,1,0.15,20,3,0.15,0,702,0.5655057402413178,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.15,20,3,0.15,0,33,0.603183260023593,stagnation
weak_phase,SNIHT,gaussian,1,0.15,20,3,0.15,0,701,1.1591503943527728,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.15,20,4,0.2,0,40,0.5239425965106062,stagnation
weak_phase,SNIHT,gaussian,1,0.15,20,4,0.2,0,24,0.8786656236493475,stagnation
weak_phase,SNIHT,gaussian,1,0.15,20,4,0.2,0,40,0.7242417264793496,stagnation
weak_phase,SNIHT,gaussian,1,0.15,20,4,0.2,0,33,0.5023216315082636,stagnation
weak_phase,SNIHT,gaussian,1,0.35,45,10,0.2222222222222222,0,39,0.7424284294706391,stagnation
weak_phase,SNIHT,gaussian,1,0.35,45,10,0.2222222222222222,0,36,1.1150696263781525,stagnation
weak_phase,SNIHT,gaussian,1,0.35,45,10,0.2222222222222222,1,18,0.00023831519739280703,residual_small
weak_phase,SNIHT,gaussian,1,0.35,45,10,0.2222222222222222,0,37,0.8835016209473547,stagnation
weak_phase,SNIHT,gaussian,1,0.35,45,11,0.24444444444444444,0,39,0.9536902925853191,stagnation
weak_phase,SNIHT,gaussian,1,0.35,45,11,0.24444444444444444,1,34,0.00031974150718632914,residual_small
weak_phase,SNIHT,gaussian,1,0.35,45,11,0.24444444444444444,0,702,1.2232974919866413,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.35,45,11,0.24444444444444444,0,59,1.0503103285920374,stagnation
weak_phase,SNIHT,gaussian,1,0.35,45,12,0.26666666666666666,0,701,1.416054218154932,slow_late_rate
weak_phase,SNIHT,gaussian,1,0.35,45,12,0.26666666666666666,0,36,0.8687257827926878,stagnation
weak_phase,SNIHT,gaussian,1,0.35,45,12,0.26666666666666666,1,38,0.000291896042804307,residual_small
weak_phase,SNIHT,gaussian,1,0.35,45,12,0.26666666666666666,0,40,0.9516216652363476,stagnation
weak_phase,SNIHT,gaussian,1,0.55,71,17,0.23943661971830985,1,30,0.0004809755656974368,residual_small
weak_phase,SNIHT,gaussian,1,0.55,71,17,0.23943661971830985,0,37,1.0937954009298017,stagnation
weak_phase,SNIHT,gaussian,1,0.55,71,17,0.23943661971830985,1,36,0.0005526491007673184,residual_small
weak_phase,SNIHT,gaussian,1,0.55,71,17,0.23943661971830985,1,31,0.0005203185135860904,residual_small
weak_phase,SNIHT,gaussian,1,0.55,71,18,0.2535211267605634,0,41,1.2475910729790374,stagnation
weak_phase,SNIHT,gaussian,1,0.55,71,18,0.2535211267605634,1,28,0.00044992198684673415,residual_small
weak_phase,SNIHT,gaussian,1,0.55,71,18,0.2535211267605634,1,32,0.0005051287034624227,residual_small
weak_phase,SNIHT,gaussian,1,0.55,71,18,0.2535211267605634,1,23,0.0005438526635186513,residual_small
weak_phase,SNIHT,gaussian,1,0.55,71,19,0.2676056338028169,1,27,0.0005008935530632757,residual_small
weak_phase,SNIHT,gaussian,1,0.55,71,19,0.2676056338028169,1,47,0.00047335529780479277,residual_small
weak_phase,SNIHT,gaussian,1,0.55,71,19,0.2676056338028169,0,36,0.9751659600225135,stagnation
weak_phase,SNIHT,gaussian,1,0.55,71,19,0.2676056338028169,0,43,1.180217495492974,stagnation
weak_phase,SNIHT,gaussian,1,0.75,96,23,0.23958333333333334,0,29,0.0006831849700313531,residual_small
weak_phase,SNIHT,gaussian,1,0.75,96,23,0.23958333333333334,0,26,0.0007166267583101566,residual_small
weak_phase,SNIHT,gaussian,1,0.75,96,23,0.23958333333333334,1,23,0.0005743919281650078,residual_small
weak_phase,SNIHT,gaussian,1,0.75,96,23,0.23958333333333334,0,50,1.208883825817301,stagnation
weak_phase,SNIHT,gaussian,1,0.75,96,24,0.25,0,35,1.589805755827905,stagnation
weak_phase,SNIHT,gaussian,1,0.75,96,24,0.25,0,29,0.000641421691321635,residual_small
weak_phase,SNIHT,gaussian,1,0.75,96,24,0.25,0,26,0.000649227581964873,residual_small
weak_phase,SNIHT,gaussian,1,0.75,96,24,0.25,0,41,0.0006807442944060647,residual_small
weak_phase,SNIHT,gaussian,1,0.75,96,25,0.2604166666666667,0,43,0.0005937600770871719,residual_small
weak_phase,SNIHT,gaussian,1,0.75,96,25,0.2604166666666667,0,37,0.000633176819662595,residual_small
weak_phase,SNIHT,gaussian,1,0.75,96,25,0.2604166666666667,0,44,0.0006204485565915907,residual_small
weak_phase,SNIHT,gaussian,1,0.75,96,25,0.2604166666666667,0,47,0.0007334632277818468,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,14,0.1206896551724138,0,12,0.0008685155161417819,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,14,0.1206896551724138,1,11,0.0006407865876211446,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,14,0.1206896551724138,0,12,0.0008965779643922396,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,14,0.1206896551724138,1,12,0.0006352402180920338,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,15,0.12931034482758622,0,15,0.0007389035591896763,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,15,0.12931034482758622,1,14,0.000654036382356347,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,15,0.12931034482758622,1,14,0.0005585964930258899,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,15,0.12931034482758622,1,13,0.0006196276069978512,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,16,0.13793103448275862,1,13,0.000718276492220227,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,16,0.13793103448275862,1,12,0.0007961130969380791,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,16,0.13793103448275862,0,14,0.0008767152219614882,residual_small
weak_phase,SNIHT,gaussian,1,0.9,116,16,0.13793103448275862,1,14,0.0006647847238975815,residual_small
weak_phase,SNIHT,gaussian,2,0.15,20,4,0.2,0,701,0.7240581994369854,slow_late_rate
